address,txn_cnt,iter,label
0xee7221adc34b88c3311b0c1054eeb74af68f4f98,31,0,phish_start
0x546e79ab833af590212a17266012ebc7d7a2f8ed,3,0,phish_start
0x3c96667dbfe9745c595865e7466f313a5ae8c413,36,0,phish_start
0x7f1b27fec1ad7f5f8d8aa3f2812cb0f644b61fef,11,0,phish_start
0x2aa8af4a79575458d5d0bcbff6d7f045f877e3c4,28,0,phish_start
0x80e313e41301312cbcda2fd38aa6142af637f8cb,12,0,phish_start
0xb54b143eb9161054e5096cccf1f4477e0784ab6b,17,0,phish_start
0x68c9f9842685259b918faf0b7e88225d0308eccd,30,0,phish_start
0x1afa52442733791aa493a15087b1dc3544684d9b,9,0,phish_start
0x0111a93692b5ccff5c4b006d88d82664f76dfd21,18,0,phish_start
0x3e97891da9a6e6d4484572c25270a4a46fac52b5,3,0,phish_start
0x95e525f434315eab8268fdc0cfd0555eb87a48cc,13,0,phish_start
0xd1fef5633589b75b8961fcc19ee94f07bf9f34f2,10,0,phish_start
0x8dff910ff09f7428a41386c3e11c6bc72adb1d47,9,0,phish_start
0xcf45624eb75be6252402312d030a7d3e04c557ef,22,0,phish_start
0x78694c0a6990dc9179d692c373140b7e14657fd7,9,0,phish_start
0xfc5821790a28390d39e8a5f18cd118faf5975e46,3,1,
0xc1c48f219cdbab505d4115194c2ef23f0ccb17dd,2,1,
0xcc9ed17a7e6ad941b20bdccf1f284a05147d4bb5,7,1,
0x2595009f684055a1b4e834c082e7eb3907578d4d,12,1,
0xdab8814bd91b1ed8d289b3d363842852156ca554,4,1,
0x1d5d94776f2a4507064b5ac26fb92d91f7b769fe,2,1,
0x5840b994a3b3d0f8776f78559a9f76ef0cc79d1a,3,1,
0x39b849fe459a27c46d193fc65f213fc56f7fff2d,5,2,
0x11c7b2f94d07e57ebcd659ed961c372000016505,1,2,
0x47545d1f047defa2e7d543e603d74ab8e26acc91,20,2,phish_extra
0xe19398a43024d1fe2327d12620bcf63cfe050ac7,3,3,
