address,txn_cnt,iter,label
0xb7f4c2f740186f94ba84d62132d4a6ebb446e8a6,3,0,phish_start
0xe7860fd151cbbad28141dfd4cc7cd6d090e4ead8,16,0,phish_start
0xc8bafbd9fdfa359794ee7c1de6b4f3cca0190274,2,0,phish_start
0xdb5fbc729aad06129021b2dd65e6d6019d40ae4f,9,0,phish_start
0xbcc4e80892fb97c910e6bfd9ae1d4ee5afc8438b,4,0,phish_start
0x0a3afd85b3b4dbab37906030287de6fc70a83b92,9,0,phish_start
0x67029ce5c22a49f8c5565a59d45c2ea7b67c8313,10,0,phish_start
0x441e78a9352fbe79943441efdcd82cbd0cc4988a,2,0,phish_start
0xc69463be21799b00a750cc16b1fe4afe4c03632f,8,0,phish_start
0x836c51f909f3f38ed163e5ea848f9d009cd6078b,2,1,
0xedbc8f9a80f68834eec9742a23a4fa8721a1ee6d,3,1,
0x72e07920aee6c649c7e0da7ce23a030eb8fc0860,4,1,
0x3cc748a6268a6a56e77c88edb040ce85660cc66a,2,1,
0x05bf05ac5b6965a67bdfe81bca6753d68739777a,12,1,
0x06fb7d5404ea384870c667d8f189df42cca88654,2,1,
0x95ba35ee5cc716d4f8dee007b66812e89b2554e6,2,1,
0x4457cde0357a6e116e3d39b6cf91ae88a5e4f0fc,4,2,
0x0c5dcd230cf492a06757c5f91d6060528d5a2a39,3,2,
0x83086703d233931043b2130e411f4ff795ab4eec,2,2,
0xa2428964f8e542971a13db8036a8c99abf3a9df8,2,2,
0xe12b1df40b79164b4fd30c0421b3a934faf84cee,3,2,
0x14a5f1feaf6e6e5dfa783c49b964d99723162650,3,2,
0xf0a26655d62da5e2b5dfe362cfe4b4de85ac6a33,2,2,
0x59ca688141d0e2dfffc66ae2023d89c6e2e2e482,2,2,
0xc492d42e46ed1858e8bc91ea9f0e5fe939cb9ad7,2,2,
0x1248f7f555e3c2e7e6cba69544e73514dd9eb204,2,3,
0xfe61aa1b1732d7956a5961b20961459aad517770,2,3,
0xd66951084dce199f462dc60a1e0a0ed05bca94df,2,3,
0x12a8cf58e390dcbd4eb637ac9ad83f7ef89e21f2,2,3,
