address,txn_cnt,iter,label
0x5208d7f63a089906889a5a9caed81e9c889e64f8,374,0,phish_start
0x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6,96,0,phish_start
0xf2401fa52bcaacfdc67fd7f2b8983ddd15092fa9,26,0,phish_start
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,110,0,phish_start
0xaec2cc8986bb14c0c604d5adf725ba33920102bc,230,0,phish_start
0x0699b6fef115d0f684d9d96964876183f11b231a,62,0,phish_start
0x336a3f0c4d40b1e39cee72e2e59330daf484848c,191,0,phish_start
0x1e06d06c84a2a0f26efd2d8b85783156aefb3e0c,15,0,phish_start
0x0cd4ea9b68ced287fc25923b071c0b1a0a14e9c6,17,0,phish_start
0x40949225c4a1745a9946f6aaf763241c082cb9ac,512,0,phish_start
0xd7dfd1f41bd1e5270aeacc1d59795fd4d181c8c2,3,1,
0x590545f57b38f4e677cd82c7f653ea0f56b833cd,3,1,
0x9a9bacdf59421187e0a629383ee51a587aa65f13,2,1,
0xaa9f95553b3bbaa97b68837cf2a4d564d2d8154b,3,1,
0xeaf0f34df7125c23d7b9248cd9d52b371849fc98,2,1,
0x4e8db9c625f3fb5268c8bfbe6f94d934486a421d,2,1,
0xbc7464d6fdf83432b2c79e13d2358a02d160a026,3,1,
0x62725bda5302b433d7b031206c187cf37b0b489c,2,1,
0xddc8f3c280913ed66dd65fe23c8186e2c4f24975,2,1,
0x947b98e7d7c7167eb14ade747ca5bc479de3b601,3,1,
0x6852fc01d0043064348a78ca0d3d213e7849d8ce,2,1,
0x52fa76f471778d1057d0bb94fa40040a803f75fc,3,1,
0x0fabba447edbfca69a8bfff45fdb37eed7e15d4d,2,1,
0x7f8c18254c47676ace0d9a330ad4bf8f17d4d7bb,3,1,
0xa4a74bfb996f02204e07387194e237af0d1769d1,3,1,
0xea2e9992087661aa4074539ab660633a3f2d5227,2,1,
0xa413e84fa7280c7b58983b23680689d94f1f95b9,2,1,
0x64043afc5089cdf7d3ee476aa47dc80e9485dc86,3,1,
0x5f37cd79ca20100bc407a4464ccdce60a2bcb55b,2,1,
0x725d0607775d6e8e85136e51808b9492e39d217d,2,1,
0x920b1aa53ff5849cede7537e4cb9d55ab2f0a5ee,3,1,
0xe5d57927788b52a9d4749f46fbf6f5a3efd61830,2,1,
0xb0a7d42bad571b9c1b5da2cf5852798ab1970d5a,3,1,
0xddc86a28de6bd429a2e145c39c1bb786e2a1c6cc,3,1,
0x19a7f2d3ee244cacc2181ff951f8e68c1a8ab2d8,3,1,
0xb92568dcb486da5e3b035973e2ca4bd50e9f9307,2,1,
0x624e78eb63df35e081faa463ecf5d6cf055e9e10,3,1,
0x467689f0d2716c2676016065e6968cc40dc9e07e,3,1,
0x166c176e3d4edeed304cbe143b0f87652fcaa603,2,1,
0x1b0937dd459f5725b67dda15b36a47efc032333f,4,1,
0x0ea2e9974243b30b5cab08d5587b26ad679713cc,3,1,
0x285212950d87f6f8ad8b3b482f47d6a19cb91565,3,1,
0x90355a3f93322dab0288d85f52150695d5bc3ff8,3,1,
0x7de537f549cc6af00a8bc96b388de1074e0f7960,3,1,
0xf9ff11640d29aabcbf99554b135b09905588d592,2,1,
0xf641a453c593b296540ef8ed0dfca32ac751a5c7,2,1,
0xc5cf6d55500dc4c9c4ab1a1559d9ed1f20a0e505,3,1,
0x4ef208634c7773f9aae12d76c129a1919477ff2c,3,1,
0xcf2be26de273a030621fcc641eb2e30b820684c4,3,1,
0x7837d2626d5026d1fdf10104b3379964092998f2,3,1,
0xd52c412b295c24833bb28f2b532a771a7c7974e5,2,1,
0x90960e9dd07dc348dc1830e96ded73290702f537,2,1,
0xca25d372d5feeb07195311d2dd02d10fcf60af39,2,1,
0x9cf70eb07bfe39a925ffb62abdda7075028bb030,2,1,
0x0b412796174c0e7992488605998762b37036a2a3,2,1,
0x80701b45125cd43397fc911e0dd78229973307db,3,1,
0xec723727b2ce6f8325a549e0ad6b40cc3d42a272,2,1,
0x417587e1ea0c0913228ade373cdc6018127fe0e6,2,1,
0x4960de15897abfd63590189f0d2a4104bc3d7fe8,2,1,
0x51160a9dca545a58eb1bc8af3f1ec0e5590fb371,2,1,
0xaf02aeadb2b3a53bf2ef00c783cde771ca0a79e0,3,1,
0xb890c2850ac4c12834f6fcb3f87646c610fa6f5e,2,1,
0x3ae7ce4b4a8be1eac3bf3890e0a3353819387919,3,1,
0xc2a16793901649ba3235911f4759268a58405074,3,1,
0x098d74606d92e7be457facf17f30cf60b5b80e71,2,1,
0x98319205de601191659a566871c4bfb0a592e184,2,1,
0x621f65469936d6b4f2c422772a3173bbea2f6d5c,3,1,
0x7f183cce61efcabb8d2eb1340f2a94c5eb1bf8e5,10,1,phish-hack
0xbdb1077bdc263db2b939953b06caef92a8bbca22,3,1,
0xf9fba9731c6a7ebbf5748d7631b9becfedb61878,3,1,
0x50a2f9fc9efbe04399b996aeaadcc19f8b5a0229,3,1,
0x98bcdef9c403574a089b366d17089836afb6b779,2,1,
0x579e95a5298b72d20bbd542bf0598b5d331ddd27,3,1,
0x84cd26c3ea544f9cbb1d2df5c195fcbb8975ceaf,18,1,
0xadd0d48039bc5125bf3b7b01da0439b85b74810e,2,1,
0xc9bfa51957c7bc74a70b0ca61d2b8899d4ced112,2,1,
0x1e410491e7c0f146909be76ca63ddac3e553ac20,2,1,
0xb7b6f82758fcf604882711da57c6cd134364badf,4,1,
0x8a5a967d494acad9b728e5e06312b3cc8f56d208,2,1,
0x782271ac9bc53ae9a3585abb63c20c3027ad3aa5,3,1,
0x5542289a46c900309b7003372b7f00414058b2b4,2,1,
0x2c646bf4939e0c1769789c3568776e708b92c8d5,2,1,
0x439e6225e6ec877aefdf6918c8ba816426d66fc8,3,1,
0x1219320139334c3d79aae0507a2aa9e278935665,2,1,
0x49ab519dffb152acb231ede67deb02a278e5f51d,2,1,
0xcfb42a0dffd3ae071e74611c0cd9b2d5fd9a92b2,3,1,
0xd967f9f73f2f1081a66b6d4f63fc5b62c118adc8,3,1,
0x06c05936ee097fc3a1fdef93761b5ae58e8baa9d,3,1,
0x70c5e8b708e591a099c2bc3c41b9b76517c4f54f,3,1,
0x79d8a2b0e16bbc67b898724c6e769913cfd33fad,2,1,
0x35e3d554fc91dfbaeb47ff39c2ad5b6123421fe9,3,1,
0x9a957a23b6bd57ab2ffa8024ca2bd25a9bf162ca,3,1,
0x5b3c11662e39cdf0d4f6ef24aa7cf734402045cd,3,1,
0x9c781fd11ec86bf694ff96baa75cff91db03eaa1,2,1,
0x71a4116e74573f50a4128338d722925e35617ddc,3,1,
0x77d24f8d6cb16bb404b62ad167a30357bf9d0047,2,1,
0xc77d8c8487ac5749486872eef609710ab7942f72,2,1,
0x074035bc7bfb463c9cf2b376e3ce649cab3129bb,3,1,
0x99b905b45767f046cbeefc7ec2db8476bfb0540c,3,1,
0x32a523e2fd391c26c15e20d28b8758bc5306b403,2,1,
0x659929bd4e51118427e26d76e75bf8eeac714e40,2,1,
0x9191696234554c852f0ccfbc8e0610fce86e36e1,4,1,
0x0d589393368287edc65d6b57aa4f40282daf7630,2,1,
0x9c79883e7bac3db39cb757a53e8758825510c340,3,1,
0xf6861b985812f1c5df84ccca819dc8261e2eb06d,3,1,
