address,txn_cnt,iter,label
0x11cdaf423b9e424b9b4a3d75274f16ea7571a5ab,73,0,phish_start
0xe0430890f9c7010ad6743293fc352680e2f01b4e,40,0,phish_start
0xeb27bd674333315047d60c97e1ac7490705a2e8c,159,0,phish_start
0xeb17037df15f171163d82c586c5b65ef112924ca,498,0,phish_start
0x85232e767e14e826ae2ff2b801eb1b2ebf6d2661,24,0,phish_start
0x8bc817dccdf0fb4e2b742bc997637e0dced83bb4,68,0,phish_start
0xcfde4df46cf406324f3c53c9a72fd3517ede6bbb,73,0,phish_start
0x2ac811d5097b4137a488fa59fc966b5a593227e6,17,0,phish_start
0x10c28135faed202d16b847ba16b125dce243da39,58,0,phish_start
0xd77297ab583d419c84bdd1c560ae197d15fd98f1,2,1,
0xd8b4444c68e21087bb88c16dcb41c748f9299aa7,5,1,
0x110fed587f8cb37350f0dfb6532203f9f074374d,4,1,
0x349c46a5da1c5478f0ede221dfd0b6b41f532c55,2,1,
0x443b0d356a3831585d63cc75b4d5b1bbdf147af7,3,1,
0x15bc86c08a3ff715e309e509282dadf743aeca10,4,1,
0x720b427ca68cd12b1e7764cd97de18ac6eaedae2,2,2,
0x786e25df93e41f5dbb0df2e18297d9f78f6daef0,2,2,
0xba19bacb2cb81a63dd9c9c1ffb32cff37269baef,7,2,
0x30179296c44c687fd306730ad168f0b8d971d505,6,2,
0x940e8397243249dcf41efc448e0c2b0645b48326,2,2,
0x25f9ee9020d84ea8e52c5df33489c5560134b950,2,2,
0xa7cccc665fb4b41e82954e47700af5f68cdd9fc6,2,2,
0x3d27e09cce7e05f4949c9aa3ec0be6ff6abace83,3,2,
0x1203df8cd34200a78d2f1bb705fd5e9f1b35c26b,2,3,
0xa8ba98c253715541917bfeb8be127c4a485ee006,2,3,
0x610889942ed812bb3294b9724448e1ef1c79e0a3,3,3,
0x42a0a3a99b77efca15b0b35f3c8ef2991fe61056,3,3,
0xef1518818bea61d3f380310ed1926e1b1a026221,2,3,
