address,txn_cnt,iter,label
0x1fd41f2da3fcd5e61c4a6b70d387e480b6c38dba,98,0,phish_start
0xee8fa6f4c6f6325beecda695fe9357946ce6f538,15,0,phish_start
0x5de91c0f2826163798adfbab70e06167d4427a9d,2,0,phish_start
0x0844ad5bd729f536f1aee085940eea6fb764e000,20,0,phish_start
0xccccd1f98620e6f320e88bb549ef7a214d5c52a1,2,0,phish_start
0x76bf9c57d5976106acf850f5aac997292898c918,2,0,phish_start
0xff72982d880dc180ce738ca2d40c4c849365a443,2,0,phish_start
0x32f36ccecafa2fcea6020279572361d36d923764,18,0,phish_start
0xb1898895a2ac9ef09afeda89ee559427b7142f2e,10,0,phish_start
0x358ad81db399b7601e8fcea1bfb01af31e646206,4,0,phish_start
0xd83605cf3aed2a56949c27f693c08aeda0e4d145,11,0,phish_start
0x5705b22cc145d5f15782e55a8b7c86a62b91b456,2,0,phish_start
0x38bff309e749b9599546ec75145badc37330ef3a,4,0,phish_start
0x6115c1397bd9c0275322377299aa3207bd969e3b,2,0,phish_start
0x8c1473012fa6c8ce735bfedd8b6b308c6e32abdd,2,0,phish_start
0x073671a608032b2d6f8b2a0f4924da8216339a12,2,0,phish_start
0x68b540360914147bbf236e026286409669f7b59d,2,0,phish_start
0x0b72eb78dd1ae56fe2a7cd53f1bea9f44f7b4211,2,0,phish_start
0x130e4d8300e692b5d40bab4a7e15cc2e2acb6e07,2,0,phish_start
0x4591a15b39dcc417b78563a870e4973645650938,12,0,phish_start
0x6799b40b32f34c928aad6d2104c4a05ff617640d,2,0,phish_start
0xe0b1ff574564c88a16f7a5e307d35660118900b4,3,0,phish_start
0xbe153f80f3180875dbbf75d49a47ce8633922b13,6,0,phish_start
0xf7ad86885088ffd327e8cca80c4e82e4974a66e2,26,0,phish_start
0x8d71b3fc635c75fe61fd56a9a54d46d1b2163f1d,2,0,phish_start
0x69627dad496db160a81bed9e27ce2da67c3242bd,10,0,phish_start
0x875d313450ab3462c9b5159960d0e6b6bf9cee16,103,0,phish_start
0xfc40c2993a0225b6397f0be19f41304fde4ee435,11,0,phish_start
0x7df1bd58e8fd49803e43987787adfecb4a0a086c,479,0,phish_start
0xb761f76b8e3222f0be40f252c7240c0f6ef86e16,2,0,phish_start
0xfeaa8ebd3f3ec6301aa12237e2be3a9e25f36f3c,18,0,phish_start
0x63cba70964facb5f60b2028549411f5bfe3f199e,8,0,phish_start
0x68283006bdfca9e1a9691601916e99f549584e1c,2,0,phish_start
0x48aec48f0ad800ac70614f81a98eb45902931401,2,0,phish_start
0x27b262c6be752b841d66f6d5121a5d332879a136,2,0,phish_start
0xb8f58e6d0d7b769a081e0c63fb632bedac3030e0,2,1,
0xc0875775034307708094e34617a95fcf6a502e16,2,1,
0x52eafc21b76f797eb1991dd42b03524dd3dd135a,2,1,
0x71fd8c3d7cb34f5746aa4f45438c27e758e5d155,2,1,
0x4eeb986e0ad4f27a734148971cbea9ebf5f81d82,4,1,
0xe2cc992ab088f08b54ccf52efeb883a3dcab81ea,3,1,
0x3762532be2a983b440893a9b71e9ea3061f02df3,2,1,
0xbc5936a349fb44881a0d18a44be36dad2e80fbd5,2,1,
0x42f45e54cb5366fab8914f8d832a1115afd0b097,2,1,
0x1527a7af60ab5d679dc6e2abd57657806d3e00dc,2,1,
0x1fb7810a178e1cd13d78c313c17832cc1f7f3280,1,1,
0x3a0ee3493fb60ff0065aeacd78446f5622225838,2,1,
0x89dccd16dca904810bdaa2b8745e3cc166a6c0a1,2,1,
0xabfff807c55c35e75be30cb9b628dda431fad7e6,4,1,
0x6a1854a87e2f92d6214934da84a8c295cefe55f4,2,1,
0x1b58ede3515c63aa95216ba34f3a5e5d66412b25,17,1,
0x2e68b5ef25a5d69e1d649cd36e60a65b224a8beb,2,1,
0x6bcdfe4fbb69c5c7d6d890062abc3bc5daa14d0f,11,1,
0xe2cae4649e3dc4ff426f91f99dd90a919dde3e87,2,1,
0xccf6a967a5f00d6ec7ed0a114fe82e07a006b455,2,1,
0xb9af023fa8256242199c6f63cd41f306db12940d,2,2,
0x2c96f0fc62e33e19303fff3aa4e45996f0223eb6,3,2,
0x3aa05147d0cfa51657cb22e7c8280283b4be0988,3,2,
0x206caade3330a2d3dfab8c5277d653b2cb8cb7d2,2,2,
0x3cef54ffa210a5f58187983e0f7b96ffbc960ac3,2,2,
0x04bad3983554ebf0540c85cb2b54af5197bfd7c7,3,2,
0x9848d1746606125116ce03c59abacfc48449a3a3,2,2,
0xfd3cea9862c091f8446ba9ff4e8883e8096f6e43,2,2,
0xa034fe25710c5041eb9c87c598b69594100f6bac,3,2,
0xfaa0a3888fdf496b0166734ffd78cf3358a53f39,3,2,
0x34385b2ca32f4443ae3e3754e00c31b61bfcd4a7,2,2,
